Source,G,C,R,Vab,Prior,Truth,Explanation,log10(G),Prior_Scaled,Truth_Scaled,Predicted_Probability,Std_Dev,H,cluster_color
Grid,1151395.399326448,0.1777551020408163,0.3839999999999999,0.5723054861814678,0,,,6.061224489795919,-0.4054651081081643,,0.49970934408722273,0.8360740944122667,0.9999997562397517,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)"
Grid,2222996.4825261957,0.1671428571428571,0.3,0.5074318329039843,0,,,6.346938775510204,-0.4054651081081643,,0.5000509727499587,0.5937950894990923,0.9999999925031182,"(0.5529411764705883, 0.8274509803921568, 0.7803921568627451, 1.0)"
Grid,2947051.7025518096,0.183469387755102,0.312,0.600520709967234,0,,,6.469387755102041,-0.4054651081081643,,0.4998918956370528,0.6339094277105273,0.9999999662797348,"(0.7019607843137254, 0.8705882352941177, 0.4117647058823529, 1.0)"
Grid,2442053.0945486496,0.1516326530612244,0.22799999999999992,0.4185789531378791,0,,,6.387755102040816,-0.4054651081081643,,0.49997489726781885,0.7752626203961156,0.9999999981817796,"(0.7372549019607844, 0.5019607843137255, 0.7411764705882353, 1.0)"
Grid,719685.6730011514,0.16551020408163258,0.3719999999999999,0.4953676805752622,0,,,5.857142857142857,-0.4054651081081643,,0.49988462770632713,0.8080030715099997,0.9999999615932471,"(0.7450980392156863, 0.7294117647058823, 0.8549019607843137, 1.0)"
Grid,372759.3720314938,0.183469387755102,0.42,0.600520709967234,0,,,5.571428571428571,-0.4054651081081643,,0.500037974902026,0.8942100181072896,0.9999999958389986,"(0.8509803921568627, 0.8509803921568627, 0.8509803921568627, 1.0)"
Grid,655128.5568595509,0.1826530612244898,0.408,0.600520709967234,0,,,5.816326530612245,-0.4054651081081643,,0.5000539048308802,0.879953260394811,0.9999999916158332,"(0.984313725490196, 0.5019607843137255, 0.4470588235294118, 1.0)"
Grid,339322.17718953296,0.1606122448979591,0.3839999999999999,0.4720930295404471,0,,,5.530612244897959,-0.4054651081081643,,0.4998706364685303,0.8485952980413243,0.9999999517132178,"(0.9882352941176471, 0.803921568627451, 0.8980392156862745, 1.0)"
Grid,109854.11419875572,0.1573469387755102,0.408,0.4499119286140347,0,,,5.040816326530612,-0.4054651081081643,,0.5001596230043952,0.9003445185440434,0.999999926481692,"(0.9921568627450981, 0.7058823529411765, 0.3843137254901961, 1.0)"
Grid,655128.5568595509,0.16795918367346932,0.3839999999999999,0.5074318329039843,0,,,5.816326530612245,-0.4054651081081643,,0.4999296721289081,0.8375251266658337,0.9999999857288333,"(1.0, 1.0, 0.7019607843137254, 1.0)"
