Source,G,C,R,Vab,Prior,Truth,Explanation,log10(G),Prior_Scaled,Truth_Scaled,Predicted_Probability,Std_Dev,Label_Probability,H,cluster_color
Grid,281176.8697974231,0.1548979591836734,0.3,0.4392153075324483,0,,,5.448979591836735,-0.4054651081081643,,0.4888095096607202,0.5654081632438899,0.5,0.9996386408711225,"(0.5529411764705883, 0.8274509803921568, 0.7803921568627451, 1.0)"
Grid,596362.3316594637,0.1671428571428571,0.3239999999999999,0.5074318329039843,0,,,5.775510204081632,-0.4054651081081643,,0.6649451653690273,0.6796525673686917,0.5,0.9200077236737307,"(1.0, 1.0, 0.7019607843137254, 1.0)"
Grid,1389495.494373136,0.1769387755102041,0.3239999999999999,0.5586989677958484,0,,,6.142857142857142,-0.4054651081081643,,0.6182893075386243,0.703811824917974,0.5,0.959241276008792,"(0.7450980392156863, 0.7294117647058823, 0.8549019607843137, 1.0)"
Grid,159985.87196060573,0.16551020408163258,0.3239999999999999,0.4953676805752622,0,,,5.204081632653061,-0.4054651081081643,,0.5062505499992391,0.668604965098599,0.5,0.9998872666756409,"(0.984313725490196, 0.5019607843137255, 0.4470588235294118, 1.0)"
Grid,308884.3596477478,0.1875510204081632,0.4439999999999999,0.6151457523462271,0,,,5.489795918367347,-0.4054651081081643,,0.6405594103820836,0.7932452215063022,0.5,0.942217856693377,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)"
Grid,3237457.54281764,0.1842857142857142,0.3,0.600520709967234,0,,,6.5102040816326525,-0.4054651081081643,,0.4573638035205561,0.5674901954973101,0.5,0.9947484321514526,"(0.9921568627450981, 0.7058823529411765, 0.3843137254901961, 1.0)"
Grid,232995.1810515372,0.1826530612244898,0.3359999999999999,0.600520709967234,0,,,5.36734693877551,-0.4054651081081643,,0.5039683002508445,0.7607877309914749,0.5,0.999954562111346,"(0.7019607843137254, 0.8705882352941177, 0.4117647058823529, 1.0)"
Grid,145634.84775012443,0.1818367346938775,0.4439999999999999,0.5862433768323853,0,,,5.163265306122449,-0.4054651081081643,,0.6433353341606177,0.7846192863168056,0.5,0.9398797353403088,"(0.9882352941176471, 0.803921568627451, 0.8980392156862745, 1.0)"
Grid,132571.1365590108,0.1875510204081632,0.4439999999999999,0.6151457523462271,0,,,5.122448979591836,-0.4054651081081643,,0.5960567570186673,0.7979606733778657,0.5,0.9732105595350683,"(0.8509803921568627, 0.8509803921568627, 0.8509803921568627, 1.0)"
Grid,3556480.3062231285,0.16142857142857142,0.288,0.4720930295404471,0,,,6.551020408163265,-0.4054651081081643,,0.6577197617649841,0.5965410692640657,0.5,0.9269840402172385,"(0.7372549019607844, 0.5019607843137255, 0.7411764705882353, 1.0)"
