Source,G,C,R,Vab,Prior,Truth,Explanation,log10(G),Prior_Scaled,Truth_Scaled,Predicted_Probability,Std_Dev,Label_Probability,H,cluster_color
Grid,449843.2668969444,0.1891836734693877,0.3359999999999999,0.6301269720577213,0,,,5.653061224489796,-0.4054651081081643,,0.49919481116645725,0.7814862672001693,0.5,0.9999981293169588,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)"
Grid,100000.0,0.15,0.3,0.4086272711092749,0,,,5.0,-0.4054651081081643,,0.4999999999698326,9.999994862585412e-06,0.5,1.0,"(0.5529411764705883, 0.8274509803921568, 0.7803921568627451, 1.0)"
Grid,255954.79226995332,0.183469387755102,0.3359999999999999,0.600520709967234,0,,,5.408163265306122,-0.4054651081081643,,0.500392708239059,0.763076227607226,0.5,0.9999995550157852,"(0.7019607843137254, 0.8705882352941177, 0.4117647058823529, 1.0)"
Grid,3906939.937054613,0.1671428571428571,0.288,0.5074318329039843,0,,,6.591836734693877,-0.4054651081081643,,0.5000253948543497,0.5832263823931313,0.5,0.9999999981392158,"(0.7372549019607844, 0.5019607843137255, 0.7411764705882353, 1.0)"
Grid,2023589.6477251556,0.1728571428571428,0.312,0.5454159433257136,0,,,6.3061224489795915,-0.4054651081081643,,0.5000897745939352,0.6108006963621433,0.5,0.9999999767452628,"(0.7450980392156863, 0.7294117647058823, 0.8549019607843137, 1.0)"
Grid,145634.84775012443,0.19,0.4319999999999999,0.6301269720577213,0,,,5.163265306122449,-0.4054651081081643,,0.5520538860890922,0.6909750373993622,0.5,0.9921675421203386,"(0.8509803921568627, 0.8509803921568627, 0.8509803921568627, 1.0)"
Grid,120679.26406393287,0.16469387755102038,0.3239999999999999,0.4953676805752622,0,,,5.081632653061225,-0.4054651081081643,,0.49988916402827394,0.6703250210629763,0.5,0.9999999645541002,"(0.984313725490196, 0.5019607843137255, 0.4470588235294118, 1.0)"
Grid,212095.0887920193,0.1826530612244898,0.42,0.600520709967234,0,,,5.326530612244898,-0.4054651081081643,,0.5000612380086549,0.012722884519251479,0.5,0.9999999891795168,"(0.9882352941176471, 0.803921568627451, 0.8980392156862745, 1.0)"
Grid,2442053.0945486496,0.1826530612244898,0.312,0.600520709967234,0,,,6.387755102040816,-0.4054651081081643,,0.5000316070566697,0.6271705037138244,0.5,0.9999999971174778,"(0.9921568627450981, 0.7058823529411765, 0.3843137254901961, 1.0)"
Grid,449843.2668969444,0.16959183673469383,0.3239999999999999,0.5197897948152,0,,,5.653061224489796,-0.4054651081081643,,0.4988649340614595,0.6828153729562052,0.5,0.9999962825332698,"(1.0, 1.0, 0.7019607843137254, 1.0)"
