Source,G,C,R,Vab,Prior,Truth,Explanation,log10(G),Prior_Scaled,Truth_Scaled,Predicted_Probability,Std_Dev,H,cluster_color
Grid,3556480.3062231285,0.16959183673469383,0.2519999999999999,0.5197897948152,0,,,6.551020408163265,-0.4054651081081643,,0.5283747935928712,0.7210848962472685,0.9976756404794225,"(0.5529411764705883, 0.8274509803921568, 0.7803921568627451, 1.0)"
Grid,409491.5062380427,0.17122448979591834,0.408,0.5324487217284037,0,,,5.612244897959184,-0.4054651081081643,,0.5272619366431726,0.8796005959836123,0.9978544762414672,"(1.0, 1.0, 0.7019607843137254, 1.0)"
Grid,790604.3210907702,0.1597959183673469,0.312,0.4608690545109152,0,,,5.8979591836734695,-0.4054651081081643,,0.4800651215854253,0.5484112626155491,0.9988530437986911,"(0.7450980392156863, 0.7294117647058823, 0.8549019607843137, 1.0)"
Grid,868511.3737513521,0.1851020408163265,0.3959999999999999,0.600520709967234,0,,,5.938775510204081,-0.4054651081081643,,0.4409530069920488,0.8632426722260378,0.9899164361092079,"(0.984313725490196, 0.5019607843137255, 0.4470588235294118, 1.0)"
Grid,1264855.2168552957,0.1744897959183673,0.3719999999999999,0.5454159433257136,0,,,6.1020408163265305,-0.4054651081081643,,0.48387775566127755,0.8054217260008154,0.9992498798816983,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)"
Grid,212095.0887920193,0.1540816326530612,0.3719999999999999,0.4287729977844499,0,,,5.326530612244898,-0.4054651081081643,,0.46904704764583227,0.8436837606203144,0.9972337818636021,"(0.9921568627450981, 0.7058823529411765, 0.3843137254901961, 1.0)"
Grid,3556480.3062231285,0.183469387755102,0.2759999999999999,0.600520709967234,0,,,6.551020408163265,-0.4054651081081643,,0.5136030529629069,0.6579246874369895,0.9994660127339473,"(0.7019607843137254, 0.8705882352941177, 0.4117647058823529, 1.0)"
Grid,175751.06248547928,0.16469387755102038,0.408,0.4953676805752622,0,,,5.244897959183674,-0.4054651081081643,,0.4740924974042451,0.8875921765522126,0.9980624624292201,"(0.9882352941176471, 0.803921568627451, 0.8980392156862745, 1.0)"
Grid,193069.77288832495,0.1826530612244898,0.4319999999999999,0.600520709967234,0,,,5.285714285714286,-0.4054651081081643,,0.530729644935191,0.9045280586801053,0.997273576271701,"(0.8509803921568627, 0.8509803921568627, 0.8509803921568627, 1.0)"
Grid,4291934.260128778,0.1565306122448979,0.22799999999999992,0.4392153075324483,0,,,6.63265306122449,-0.4054651081081643,,0.5547300564274122,0.7699643743580111,0.9913398206217191,"(0.7372549019607844, 0.5019607843137255, 0.7411764705882353, 1.0)"
