Source,G,C,R,Vab,Prior,Truth,Explanation,log10(G),Prior_Scaled,Truth_Scaled,Predicted_Probability,Std_Dev,Label_Probability,H,cluster_color
Grid,494171.33613238385,0.16224489795918356,0.36,0.48359035252908,0,,,5.6938775510204085,-0.4054651081081643,,0.46958727675508427,0.7744759086502687,0.5,0.9973295572952365,"(0.5529411764705883, 0.8274509803921568, 0.7803921568627451, 1.0)"
Grid,1048113.1341546852,0.1851020408163265,0.3959999999999999,0.600520709967234,0,,,6.020408163265306,-0.4054651081081643,,0.5030117828789381,0.864311272121664,0.5,0.9999738269411795,"(1.0, 1.0, 0.7019607843137254, 1.0)"
Grid,954095.4763499944,0.1736734693877551,0.3839999999999999,0.5454159433257136,0,,,5.979591836734694,-0.4054651081081643,,0.512832914147815,0.8363788798753103,0.5,0.9995247711441734,"(0.7450980392156863, 0.7294117647058823, 0.8549019607843137, 1.0)"
Grid,175751.06248547928,0.1540816326530612,0.348,0.4287729977844499,0,,,5.244897959183674,-0.4054651081081643,,0.5039078590044868,0.734654209723997,0.5,0.9999559357149321,"(0.984313725490196, 0.5019607843137255, 0.4470588235294118, 1.0)"
Grid,1048113.1341546852,0.1557142857142857,0.2519999999999999,0.4392153075324483,0,,,6.020408163265306,-0.4054651081081643,,0.48934449820000087,0.7075220224672628,0.5,0.9996723688199721,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)"
Grid,3237457.54281764,0.1687755102040816,0.2639999999999999,0.5197897948152,0,,,6.5102040816326525,-0.4054651081081643,,0.5589121580579449,0.6841209781581098,0.5,0.9899625429339207,"(0.9921568627450981, 0.7058823529411765, 0.3843137254901961, 1.0)"
Grid,175751.06248547928,0.16795918367346932,0.408,0.5074318329039843,0,,,5.244897959183674,-0.4054651081081643,,0.4965648166841306,0.8812535034625625,0.5,0.9999659507314445,"(0.7019607843137254, 0.8705882352941177, 0.4117647058823529, 1.0)"
Grid,4291934.260128778,0.1842857142857142,0.2639999999999999,0.600520709967234,0,,,6.63265306122449,-0.4054651081081643,,0.5582547435822417,0.6833937852760341,0.5,0.9901858220340981,"(0.9882352941176471, 0.803921568627451, 0.8980392156862745, 1.0)"
Grid,5689866.029018293,0.1565306122448979,0.216,0.4392153075324483,0,,,6.755102040816326,-0.4054651081081643,,0.4385364869436739,0.7805121003554791,0.5,0.9890720589995954,"(0.8509803921568627, 0.8509803921568627, 0.8509803921568627, 1.0)"
Grid,212095.0887920193,0.1826530612244898,0.42,0.600520709967234,0,,,5.326530612244898,-0.4054651081081643,,0.4597404727963166,0.8962046801514683,0.5,0.9953182079472053,"(0.7372549019607844, 0.5019607843137255, 0.7411764705882353, 1.0)"
