Source,G,C,R,Vab,Prior,Truth,Explanation,log10(G),Prior_Scaled,Truth_Scaled,Predicted_Probability,Std_Dev,H,cluster_color
Grid,3556480.3062231285,0.16959183673469383,0.2519999999999999,0.5197897948152,0,,,6.551020408163265,-0.4054651081081643,,0.5283747893517888,0.7210848954185174,0.9976756411746242,"(0.5529411764705883, 0.8274509803921568, 0.7803921568627451, 1.0)"
Grid,409491.5062380427,0.17122448979591834,0.408,0.5324487217284037,0,,,5.612244897959184,-0.4054651081081643,,0.5272619428865722,0.8796005977258907,0.9978544752582637,"(1.0, 1.0, 0.7019607843137254, 1.0)"
Grid,790604.3210907702,0.1597959183673469,0.312,0.4608690545109152,0,,,5.8979591836734695,-0.4054651081081643,,0.48006512409126484,0.5484112629630578,0.9988530440871152,"(0.7450980392156863, 0.7294117647058823, 0.8549019607843137, 1.0)"
Grid,868511.3737513521,0.1851020408163265,0.3959999999999999,0.600520709967234,0,,,5.938775510204081,-0.4054651081081643,,0.44095301303816337,0.8632426740054177,0.9899164381790626,"(0.984313725490196, 0.5019607843137255, 0.4470588235294118, 1.0)"
Grid,1264855.2168552957,0.1744897959183673,0.3719999999999999,0.5454159433257136,0,,,6.1020408163265305,-0.4054651081081643,,0.4838777591621184,0.8054217277657753,0.9992498802075223,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)"
Grid,212095.0887920193,0.1540816326530612,0.3719999999999999,0.4287729977844499,0,,,5.326530612244898,-0.4054651081081643,,0.4690470600213972,0.843683761202038,0.9972337840769886,"(0.9921568627450981, 0.7058823529411765, 0.3843137254901961, 1.0)"
Grid,3556480.3062231285,0.183469387755102,0.2759999999999999,0.600520709967234,0,,,6.551020408163265,-0.4054651081081643,,0.5136030484944728,0.6579246828952618,0.999466013084807,"(0.7019607843137254, 0.8705882352941177, 0.4117647058823529, 1.0)"
Grid,175751.06248547928,0.16469387755102038,0.408,0.4953676805752622,0,,,5.244897959183674,-0.4054651081081643,,0.47409250581865325,0.8875921782360654,0.9980624636883562,"(0.9882352941176471, 0.803921568627451, 0.8980392156862745, 1.0)"
Grid,193069.77288832495,0.1826530612244898,0.4319999999999999,0.600520709967234,0,,,5.285714285714286,-0.4054651081081643,,0.5307296515401227,0.9045280605455875,0.9972735750989435,"(0.8509803921568627, 0.8509803921568627, 0.8509803921568627, 1.0)"
Grid,4291934.260128778,0.1565306122448979,0.22799999999999992,0.4392153075324483,0,,,6.63265306122449,-0.4054651081081643,,0.5547300544882666,0.7699643754388352,0.9913398212366332,"(0.7372549019607844, 0.5019607843137255, 0.7411764705882353, 1.0)"
