Source,G,C,R,Vab,Prior,Truth,Explanation
Grid,8383673.469387756,0.15,0.09599999999999999,0.4086272711092749,0,,
Grid,8585714.285714285,0.15,0.09599999999999999,0.4086272711092749,0,,
Grid,8787755.102040816,0.15,0.09599999999999999,0.4086272711092749,0,,
Grid,8989795.918367347,0.15,0.09599999999999999,0.4086272711092749,0,,
Grid,9191836.734693877,0.15,0.09599999999999999,0.4086272711092749,0,,
Grid,9393877.551020408,0.15,0.09599999999999999,0.4086272711092749,0,,
Grid,9595918.367346939,0.15,0.09599999999999999,0.4086272711092749,0,,
Grid,9797959.18367347,0.15,0.09599999999999999,0.4086272711092749,0,,
Grid,10000000.0,0.15,0.09599999999999999,0.4086272711092749,0,,
Grid,100000.0,0.15,0.10799999999999998,0.4086272711092749,0,,
