Source,G,C,R,Vab,Prior,Truth,Explanation,Prior_Scaled,Truth_Scaled,Predicted_Probability,Std_Dev
Grid,0.0,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.0066928509255665325,9.999994862585412e-06
Grid,0.020408163265306124,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.007468873934565414,0.5370009362622298
Grid,0.04081632653061225,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.007863611327139279,0.6334844413911644
Grid,0.06122448979591836,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.007709761508336874,0.5992940317015267
Grid,0.08163265306122448,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.0070760460902954325,0.3966800000950191
Grid,0.10204081632653064,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.009473781341128092,0.4363938483043365
Grid,0.12244897959183675,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.017208464366261993,0.663258777582061
Grid,0.14285714285714285,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.029268141042429148,0.7835790139679628
Grid,0.16326530612244897,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.04633328872188525,0.8574465427229697
Grid,0.1836734693877551,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.06841445767855237,0.9049647127644729
Grid,0.20408163265306126,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.09475711519533665,0.9362387285783281
Grid,0.22448979591836735,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.12400576378759863,0.9570740514582142
Grid,0.24489795918367346,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.15453738314418233,0.9710488280145935
Grid,0.2653061224489796,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.18480437480839026,0.9804575256177568
Grid,0.2857142857142857,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.2135674832282637,0.9868050676062863
Grid,0.30612244897959184,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.23998562797016698,0.9910916598221473
Grid,0.326530612244898,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.26359499552285953,0.9939873492657254
Grid,0.3469387755102041,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.2842306198020393,0.995943138479867
Grid,0.3673469387755102,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.3019338809634628,0.9972634117535545
Grid,0.38775510204081637,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.31687037976768306,0.9981538628795205
Grid,0.4081632653061225,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.32926710834887957,0.9987535182324152
Grid,0.42857142857142855,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.3393689195692265,0.9991562582413294
Grid,0.4489795918367347,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.34741061655965944,0.9994253224861531
Grid,0.4693877551020408,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.35360027970855606,0.9996030855786896
Grid,0.4897959183673469,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.3581100313911661,0.9997176203425738
