Source,G,C,R,Vab,Prior,Truth,Explanation,log10(G),Prior_Scaled,Truth_Scaled,Predicted_Probability,Std_Dev,H,cluster_color
Grid,5689866.029018293,0.19,0.288,0.6301269720577213,0,,,6.755102040816326,-0.4054651081081643,,0.500079560880878,0.5250059872198957,0.999999981735672,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)"
Grid,2023589.6477251556,0.16142857142857142,0.288,0.4720930295404471,0,,,6.3061224489795915,-0.4054651081081643,,0.49954513929165145,0.5967301056081382,0.9999994030177187,"(0.5529411764705883, 0.8274509803921568, 0.7803921568627451, 1.0)"
Grid,2442053.0945486496,0.16795918367346932,0.3,0.5074318329039843,0,,,6.387755102040816,-0.4054651081081643,,0.49792513775669345,0.5550540392329011,0.9999875782061728,"(0.7019607843137254, 0.8705882352941177, 0.4117647058823529, 1.0)"
Grid,6250551.925273976,0.16387755102040807,0.2759999999999999,0.48359035252908,0,,,6.795918367346939,-0.4054651081081643,,0.5001094693632127,0.6190613307756717,0.999999965422808,"(0.7372549019607844, 0.5019607843137255, 0.7411764705882353, 1.0)"
Grid,339322.17718953296,0.1597959183673469,0.3,0.4608690545109152,0,,,5.530612244897959,-0.4054651081081643,,0.5011833091690676,0.5885124411259945,0.999995959813627,"(0.7450980392156863, 0.7294117647058823, 0.8549019607843137, 1.0)"
Grid,719685.6730011514,0.1671428571428571,0.312,0.5074318329039843,0,,,5.857142857142857,-0.4054651081081643,,0.4987288456722696,0.48682128098329885,0.9999953376855282,"(0.8509803921568627, 0.8509803921568627, 0.8509803921568627, 1.0)"
Grid,145634.84775012443,0.1875510204081632,0.348,0.6151457523462271,0,,,5.163265306122449,-0.4054651081081643,,0.4997150617121286,0.7962079755730938,0.9999997657356632,"(0.984313725490196, 0.5019607843137255, 0.4470588235294118, 1.0)"
Grid,954095.4763499944,0.16306122448979593,0.3,0.48359035252908,0,,,5.979591836734694,-0.4054651081081643,,0.4992704051179474,0.4628590222831717,0.9999984640812349,"(0.9882352941176471, 0.803921568627451, 0.8980392156862745, 1.0)"
Grid,1389495.494373136,0.180204081632653,0.3239999999999999,0.5862433768323853,0,,,6.142857142857142,-0.4054651081081643,,0.4994017428166135,0.6641541077278541,0.9999989672850069,"(0.9921568627450981, 0.7058823529411765, 0.3843137254901961, 1.0)"
Grid,100000.0,0.1704081632653061,0.3359999999999999,0.5197897948152,0,,,5.0,-0.4054651081081643,,0.4999842687498625,0.7360974265310032,0.9999999992859461,"(1.0, 1.0, 0.7019607843137254, 1.0)"
