d,Method,random_seed,epsilonX,epsilonEI,i,EI,y,y*,R,t (s),m (MB)
2,exactBO,0,1e-05,0.1,1,0.04940755225622618,1.3915668900471212,-1.9101873427908376,0.0,0.188449,nan
2,exactBO,0,1e-05,0.1,2,0.05290237982696988,-0.727725942987929,-1.9101873427908376,2.1192928330350496,0.185696,nan
2,exactBO,0,1e-05,0.1,3,0.08845205757388501,-1.2712231076292206,-1.9101873427908376,3.2062871623176328,0.219197,nan
2,exactBO,0,1e-05,0.1,4,0.2867452359975932,-1.355856782768139,-1.9101873427908376,3.4601881877343876,1.230342,nan
2,exactBO,0,1e-05,0.1,5,0.11877504273569732,-0.9781221877952193,-1.9101873427908376,3.8379227827073077,2.351466,nan
2,exactBO,0,1e-05,0.1,6,0.9014466269218462,-1.6608614975133813,-1.9101873427908376,5.362946356433519,3.03239,nan
2,exactBO,0,1e-05,0.1,7,0.19843123798952003,-1.9092158262090972,-1.9101873427908376,6.853072328607816,8.143487,nan
2,exactBO,0,1e-05,0.1,8,0.04695766841346927,0.9686043176057875,-1.9101873427908376,9.730892472422699,7.092118,nan
2,exactBO,0,1e-05,0.1,9,0.006077670564106186,2.033326693817369,-1.9101873427908376,13.673434992449165,10.530759,nan
2,exactBO,0,1e-05,0.1,10,0.0038757528314359753,-1.8997813993453896,-1.9101873427908376,13.682869419312873,10.309348,nan
2,exactBO,1,1e-05,0.1,1,0.05827140538443355,0.5057058867010378,-1.9101873427908376,0.0,0.243161,nan
2,exactBO,1,1e-05,0.1,2,0.06499351880628232,-0.40932796529210913,-1.9101873427908376,0.9150338519931469,0.249383,nan
2,exactBO,1,1e-05,0.1,3,0.1189436347731458,-1.0322651747648894,-1.9101873427908376,2.1609082709387075,0.221921,nan
2,exactBO,1,1e-05,0.1,4,0.5638955822322136,-1.3771609472646498,-1.9101873427908376,3.195595588437989,3.019574,nan
2,exactBO,1,1e-05,0.1,5,0.08773352490937214,-1.416590889202467,-1.9101873427908376,3.353315356189258,4.467896,nan
2,exactBO,1,1e-05,0.1,6,0.16860735877499153,-1.8088734427705049,-1.9101873427908376,5.314728124029448,8.578771,nan
2,exactBO,1,1e-05,0.1,7,0.030429114599142368,0.9871245558915547,-1.9101873427908376,8.110726122691508,17.312398,nan
2,exactBO,1,1e-05,0.1,8,0.011093312032411115,-1.481478504382511,-1.9101873427908376,8.438121061079501,18.679297,nan
2,exactBO,1,1e-05,0.1,9,0.103954761795107,-1.8947928621228884,-1.9101873427908376,9.12547641589857,20.148637,nan
2,exactBO,1,1e-05,0.1,10,0.014021436445443972,1.314657860166173,-1.9101873427908376,12.33492713818763,29.68069,nan
2,exactBO,2,1e-05,0.1,1,0.11113821875399352,0.7315157637404544,-1.9101873427908376,0.0,0.552002,nan
2,exactBO,2,1e-05,0.1,2,0.09047994778952939,-0.31782816304724326,-1.9101873427908376,1.0493439267876976,0.549623,nan
2,exactBO,2,1e-05,0.1,3,0.10399731565786785,2.1437497154457588,-1.9101873427908376,3.5109218052807005,2.407804,nan
