d,Method,random_seed,epsilonX,epsilonEI,i,EI,y,y*,R,t (s),m (MB)
2,gradBO,7,1e-05,nan,7,0.01995434053641367,0.953980812558461,-1.9101873427908376,8.829178356343633,0.04794139799196273,nan
2,gradBO,7,1e-05,nan,8,0.008355720840727856,-1.3815406254428835,-1.9101873427908376,15.756132426350447,0.13811542000621557,nan
2,gradBO,7,1e-05,nan,9,0.10074428359221417,-0.7457545985897993,-1.9101873427908376,16.391918453203534,0.15210217799176462,nan
2,gradBO,7,1e-05,nan,10,0.05289876629784322,-1.4137909256552494,-1.9101873427908376,16.68217115511483,0.1658822320168838,nan
2,gradBO,8,1e-05,nan,1,0.11569084182514597,0.07933954657022158,-1.9101873427908376,0.0,0.7008191689965315,nan
2,gradBO,8,1e-05,nan,2,0.1309795986459753,0.5973651303855723,-1.9101873427908376,0.5180255838153505,0.07110034499783069,nan
2,gradBO,8,1e-05,nan,3,0.0704674156973135,-0.42422797289527603,-1.9101873427908376,1.5251606227463457,0.16702813701704144,nan
2,gradBO,8,1e-05,nan,4,0.029611822111369205,-1.2458725818173106,-1.9101873427908376,3.9900944495124495,0.11574374299379997,nan
2,gradBO,8,1e-05,nan,5,0.13044660655428778,-0.24038341692981868,-1.9101873427908376,4.995583614399942,0.2776553599978797,nan
2,gradBO,8,1e-05,nan,6,0.19409178144095915,-1.4023296302160064,-1.9101873427908376,5.777868856393421,0.3558876499882899,nan
2,gradBO,8,1e-05,nan,7,0.12846418719316413,-1.8723655160365213,-1.9101873427908376,8.59808417131651,0.5745229230087716,nan
2,gradBO,8,1e-05,nan,8,0.09694512190607858,-1.6728377343831973,-1.9101873427908376,8.797611952969834,0.1944404949899763,nan
2,gradBO,8,1e-05,nan,9,0.058080720343404744,-1.8487833183736684,-1.9101873427908376,8.821194150632687,0.16283883899450302,nan
2,gradBO,8,1e-05,nan,10,0.07798315696114246,2.1144145881835277,-1.9101873427908376,12.807974254852734,0.11165668201283552,nan
2,gradBO,9,1e-05,nan,1,0.11295042517986298,0.7439825669654727,-1.9101873427908376,0.0,1.5232315650209785,nan
2,gradBO,9,1e-05,nan,2,0.12415136639372101,2.0957628467252323,-1.9101873427908376,1.3517802797597591,0.16293710301397368,nan
2,gradBO,9,1e-05,nan,3,0.018430036721264104,1.7882019839600551,-1.9101873427908376,2.395999696754341,0.16434276499785483,nan
2,gradBO,9,1e-05,nan,4,0.09066949614116535,-0.19064300742287665,-1.9101873427908376,5.199876419919388,0.16117179300636053,nan
2,gradBO,9,1e-05,nan,5,0.38374159145770104,-1.6289621879741523,-1.9101873427908376,10.95315314212449,0.0962162519863341,nan
2,gradBO,9,1e-05,nan,6,0.7649432007104795,0.953980812558461,-1.9101873427908376,13.536096142657104,0.01773947902256623,nan
2,gradBO,9,1e-05,nan,7,0.07829907027072626,-1.4168418120093245,-1.9101873427908376,13.74821651862193,0.1481832220160868,nan
2,gradBO,9,1e-05,nan,8,0.07495670060032364,-1.3631252255311428,-1.9101873427908376,14.014053481064941,0.13499572000000626,nan
2,gradBO,9,1e-05,nan,9,0.15139824092448037,-1.221231795499885,-1.9101873427908376,14.421783873539209,0.08625076300813816,nan
2,gradBO,9,1e-05,nan,10,0.01700470731702911,-1.8703547750557719,-1.9101873427908376,16.594317157273785,0.09470660801162012,nan
